! Reaction's Kinematics:  Alab & Elab
! 12C + 2H -> 8Be + 6Li     or    2H(12C,8Be)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  27.40 MeV/u;      Grazing angle:  CMS = 1.52 deg;    Lab = 0.37 deg
! Q reaction : -8.92 MeV  (Excitations 0.0+0.0 -> 3.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 8Be	Angle  [Lab-deg]2	Residual - 6Li	
16.956866	23.541    	23.776025	21.8486   	
16.977992	23.5007   	23.753389	21.9022   	
16.999002	23.4604   	23.730591	21.9558   	
17.019896	23.4201   	23.707631	22.0094   	
17.040672	23.3798   	23.684511	22.0631   	
17.061331	23.3395   	23.661230	22.1167   	
17.081872	23.2992   	23.637791	22.1704   	
17.102295	23.2588   	23.614192	22.2241   	
17.122598	23.2185   	23.590436	22.2778   	
17.142783	23.1781   	23.566523	22.3315   	
17.162848	23.1377   	23.542453	22.3852   	
17.182793	23.0974   	23.518228	22.439    	
17.202617	23.057    	23.493848	22.4927   	
17.222320	23.0166   	23.469313	22.5465   	
17.241902	22.9762   	23.444625	22.6003   	
17.261362	22.9357   	23.419784	22.6541   	
17.280699	22.8953   	23.394791	22.7079   	
17.299914	22.8549   	23.369647	22.7617   	
17.319005	22.8144   	23.344352	22.8155   	
17.337972	22.774    	23.318907	22.8694   	
17.356815	22.7335   	23.293312	22.9232   	
17.375533	22.6931   	23.267569	22.9771   	
17.394126	22.6526   	23.241678	23.0309   	
17.412593	22.6121   	23.215640	23.0848   	
17.430934	22.5716   	23.189455	23.1386   	
17.449148	22.5312   	23.163125	23.1925   	
17.467236	22.4907   	23.136649	23.2464   	
17.485195	22.4502   	23.110028	23.3003   	
17.503027	22.4097   	23.083264	23.3542   	
17.520730	22.3692   	23.056357	23.4081   	
17.538304	22.3287   	23.029306	23.462    	
17.555748	22.2882   	23.002115	23.5159   	
17.573063	22.2477   	22.974781	23.5698   	
17.590246	22.2072   	22.947307	23.6237   	
17.607299	22.1667   	22.919694	23.6776   	
17.624221	22.1262   	22.891941	23.7315   	
17.641010	22.0857   	22.864049	23.7854   	
17.657667	22.0452   	22.836019	23.8393   	
17.674191	22.0047   	22.807852	23.8932   	
17.690582	21.9642   	22.779548	23.9471   	
17.706839	21.9237   	22.751108	24.001    	
17.722961	21.8832   	22.722533	24.0549   	
17.738949	21.8427   	22.693823	24.1088   	
17.754800	21.8022   	22.664978	24.1627   	
17.770517	21.7617   	22.636000	24.2166   	
17.786096	21.7212   	22.606889	24.2704   	
17.801539	21.6807   	22.577645	24.3243   	
17.816844	21.6403   	22.548270	24.3782   	
17.832011	21.5998   	22.518763	24.4321   	
17.847040	21.5593   	22.489126	24.4859   	
17.861930	21.5189   	22.459359	24.5398   	
17.876680	21.4784   	22.429463	24.5936   	
17.891291	21.438    	22.399438	24.6474   	
17.905761	21.3975   	22.369284	24.7013   	
17.920090	21.3571   	22.339004	24.7551   	
17.934277	21.3166   	22.308596	24.8089   	
17.948323	21.2762   	22.278061	24.8627   	
17.962225	21.2358   	22.247401	24.9164   	
17.975985	21.1954   	22.216616	24.9702   	
17.989601	21.155    	22.185706	25.024    	
18.003073	21.1146   	22.154672	25.0777   	
18.016401	21.0743   	22.123514	25.1315   	
18.029583	21.0339   	22.092234	25.1852   	
18.042619	20.9935   	22.060831	25.2389   	
18.055510	20.9532   	22.029306	25.2926   	
18.068253	20.9129   	21.997660	25.3462   	
18.080849	20.8726   	21.965893	25.3999   	
18.093298	20.8323   	21.934006	25.4535   	
18.105598	20.792    	21.902000	25.5072   	
18.117749	20.7517   	21.869874	25.5608   	
18.129751	20.7114   	21.837630	25.6144   	
18.141602	20.6712   	21.805268	25.6679   	
18.153304	20.6309   	21.772789	25.7215   	
18.164854	20.5907   	21.740192	25.775    	
18.176252	20.5505   	21.707480	25.8285   	
18.187499	20.5103   	21.674652	25.882    	
18.198593	20.4701   	21.641708	25.9355   	
18.209533	20.43     	21.608650	25.9889   	
18.220320	20.3898   	21.575477	26.0424   	
18.230953	20.3497   	21.542191	26.0958   	
18.241430	20.3096   	21.508792	26.1491   	
18.251753	20.2695   	21.475280	26.2025   	
18.261919	20.2294   	21.441656	26.2558   	
18.271929	20.1894   	21.407920	26.3091   	
18.281781	20.1493   	21.374074	26.3624   	
18.291477	20.1093   	21.340117	26.4157   	
18.301013	20.0693   	21.306049	26.4689   	
18.310392	20.0293   	21.271872	26.5221   	
18.319610	19.9894   	21.237587	26.5753   	
18.328669	19.9495   	21.203192	26.6284   	
18.337568	19.9095   	21.168690	26.6815   	
18.346305	19.8697   	21.134080	26.7346   	
18.354881	19.8298   	21.099363	26.7877   	
18.363295	19.7899   	21.064539	26.8407   	
18.371546	19.7501   	21.029610	26.8937   	
18.379634	19.7103   	20.994575	26.9467   	
18.387558	19.6706   	20.959435	26.9996   	
18.395318	19.6308   	20.924190	27.0525   	
18.402912	19.5911   	20.888841	27.1054   	
18.410342	19.5514   	20.853388	27.1582   	
18.417605	19.5117   	20.817833	27.211    	
18.424701	19.4721   	20.782174	27.2638   	
18.431630	19.4324   	20.746414	27.3165   	
18.438391	19.3928   	20.710551	27.3692   	
18.444984	19.3533   	20.674588	27.4219   	
