! Reaction's Kinematics:  Alab & Alab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle of  10C [Lab-deg]	Y	
15.504891	18.6184   	
15.495683	18.5733   	
15.486290	18.528    	
15.476714	18.4827   	
15.466954	18.4373   	
15.457010	18.3919   	
15.446880	18.3464   	
15.436566	18.3008   	
15.426065	18.2552   	
15.415378	18.2095   	
15.404505	18.1637   	
15.393445	18.1179   	
15.382198	18.072    	
15.370763	18.026    	
15.359140	17.98     	
15.347328	17.9339   	
15.335327	17.8877   	
15.323137	17.8415   	
15.310758	17.7952   	
15.298188	17.7489   	
15.285428	17.7025   	
15.272477	17.656    	
15.259335	17.6095   	
15.246001	17.5629   	
15.232476	17.5162   	
15.218758	17.4695   	
15.204847	17.4228   	
15.190743	17.3759   	
15.176446	17.329    	
15.161955	17.2821   	
15.147269	17.2351   	
15.132389	17.188    	
15.117314	17.1409   	
15.102044	17.0937   	
15.086578	17.0465   	
15.070916	16.9992   	
15.055058	16.9518   	
15.039003	16.9044   	
15.022751	16.8569   	
15.006302	16.8094   	
14.989654	16.7618   	
14.972809	16.7142   	
14.955765	16.6665   	
14.938522	16.6187   	
14.921081	16.5709   	
14.903439	16.5231   	
14.885598	16.4752   	
14.867557	16.4272   	
14.849315	16.3792   	
14.830873	16.3311   	
14.812229	16.283    	
14.793384	16.2348   	
14.774338	16.1865   	
14.755089	16.1382   	
14.735638	16.0899   	
14.715984	16.0415   	
14.696127	15.9931   	
14.676067	15.9446   	
14.655803	15.896    	
14.635335	15.8474   	
14.614663	15.7988   	
14.593787	15.7501   	
14.572706	15.7013   	
14.551420	15.6525   	
14.529928	15.6037   	
14.508231	15.5548   	
14.486328	15.5058   	
14.464219	15.4568   	
14.441904	15.4078   	
14.419382	15.3587   	
14.396652	15.3095   	
14.373716	15.2603   	
14.350572	15.2111   	
14.327221	15.1618   	
14.303661	15.1125   	
14.279894	15.0631   	
14.255918	15.0137   	
14.231733	14.9642   	
14.207339	14.9147   	
14.182736	14.8651   	
14.157924	14.8155   	
14.132902	14.7658   	
14.107671	14.7161   	
14.082229	14.6664   	
14.056577	14.6166   	
14.030715	14.5668   	
14.004642	14.5169   	
13.978359	14.467    	
13.951864	14.417    	
13.925158	14.367    	
13.898241	14.3169   	
13.871112	14.2668   	
13.843771	14.2167   	
13.816219	14.1665   	
13.788454	14.1163   	
13.760478	14.066    	
13.732288	14.0157   	
13.703887	13.9653   	
13.675272	13.9149   	
13.646445	13.8645   	
13.617405	13.814    	
13.588151	13.7635   	
13.558685	13.7129   	
13.529005	13.6623   	
13.499112	13.6117   	
13.469005	13.561    	
13.438684	13.5103   	
13.408150	13.4595   	
13.377401	13.4087   	
13.346439	13.3579   	
13.315263	13.307    	
13.283872	13.2561   	
13.252267	13.2051   	
13.220448	13.1541   	
13.188415	13.1031   	
13.156167	13.052    	
13.123705	13.0009   	
13.091028	12.9498   	
13.058137	12.8986   	
13.025031	12.8474   	
12.991710	12.7961   	
12.958175	12.7448   	
12.924425	12.6935   	
12.890460	12.6421   	
12.856281	12.5907   	
12.821887	12.5393   	
12.787278	12.4878   	
12.752455	12.4363   	
